NAME,POP
Alba,336783
Arad,427186
Arges,602150
Bacau,605127
Bihor,572794
Bistrita-Nasaud,283516
Botosani,401110
Brasov,550809
Braila,310159
Buzau,438676
Caras-Severin,287528
Calarasi,299954
Cluj,699780
Constanta,683771
Covasna,208159
Dambovita,511060
Dolj,648407
Galati,526199
Giurgiu,277566
Gorj,333160
Harghita,309807
Hunedoara,405676
Ialomita,268212
Iasi,783526
Ilfov,424411
Maramures,471413
Mehedinti,257634
Mures,547029
Neamt,460480
Olt,420881
Prahova,749887
Satu Mare,340466
Salaj,219769
Sibiu,400150
Suceava,630986
Teleorman,364286
Timis,694267
Tulcea,207151
Vaslui,389125
Valcea,364472
Vrancea,334672
Bucuresti,1860380
